tag,text
EXAMPLE,Muscle is composed of two different types of protein. 
HEADWORD,conceive of
DEFINITION,"to imagine something, or to think of doing something"
EXAMPLE,How can they even conceive of doing such an appalling thing?
HEADWORD,concentrate on
DEFINITION,to give most of your attention to one aim or activity
EXAMPLE,Luke wants to concentrate on his film career. 
HEADWORD,condemn to
DEFINITION,to give a punishment to someone who has committed a crime
EXAMPLE,Both men have been condemned to life imprisonment. 
HEADWORD,cone off
DEFINITION,to put cones across a road to prevent traffic from going along the road
EXAMPLE,One side of the road had been completely coned off. 
HEADWORD,confer on
DEFINITION,"to give something such as authority, a legal right, or an honour to someone"
EXAMPLE,The university conferred an honorary doctorate on her.
HEADWORD,confide in
DEFINITION,to tell someone a secret or discuss your private feelings with them
EXAMPLE,I hope you know that you can always confide in me.
HEADWORD,conform to
DEFINITION,to obey something such as a rule or law
EXAMPLE,All fireworks must conform to British safety standards. 
HEADWORD,confuse with
DEFINITION,to think wrongly that a person or thing is someone or something else
EXAMPLE,"Robert should not be confused with his father, who has the same name. "
HEADWORD,conjure up
DEFINITION,to create or achieve something difficult or unexpected
EXAMPLE,They managed to conjure up a goal and won the match. 
HEADWORD,conk out
DEFINITION,to suddenly stop working
EXAMPLE,Suddenly the copier just conked out. 
HEADWORD,connect to
DEFINITION,to join two things together
EXAMPLE,"It has speakers inside, which you can connect to your sound card. "
HEADWORD,connect up
DEFINITION,to join several things or places together
EXAMPLE,A network of canals connects up all the major ports. 
HEADWORD,connive at
DEFINITION,"to ignore behaviour or an activity that is wrong, or do nothing to stop it, so that you seem to approve of it"
EXAMPLE,It seems that the legal system connives at such crimes.
HEADWORD,consign to
DEFINITION,to put someone in an unpleasant situation that usually lasts a long time
EXAMPLE,His policies consigned the people to starvation. 
HEADWORD,consist in
DEFINITION,to have something as the most important aspect or the only aspect
EXAMPLE,True strength does not consist in mere muscle. 
HEADWORD,consist of
DEFINITION,"to be made of particular parts, things or people"
EXAMPLE,His breakfast consists of dry bread and a cup of tea. 
HEADWORD,consort with
DEFINITION,"to spend time with someone who is considered bad, for example a criminal or an enemy"
EXAMPLE,Do you deny you were consorting with a known criminal?
HEADWORD,construe as
DEFINITION,to understand the meaning of something in a particular way
EXAMPLE,Can that be construed as an apology? 
HEADWORD,contend with
DEFINITION,"to have to deal with problems or difficulties, especially in order to achieve something"
EXAMPLE,They had to contend with winds of over 40 miles an hour. 
HEADWORD,contract in
DEFINITION,to agree by a written legal agreement to be included in something
EXAMPLE,Union members were expected to contract in. 
HEADWORD,contract out
DEFINITION,to agree by a written legal agreement not to be included in something
EXAMPLE,They were trying to persuade employees to contract out. 
HEADWORD,contrast with
DEFINITION,to compare two people or things in order to show how they are different
EXAMPLE,He contrasted his party's record on unemployment with that of the last government. 
HEADWORD,contribute to
DEFINITION,to be one of the things that help to make something happen
EXAMPLE,The scandal certainly contributed to their defeat at the last election.
HEADWORD,convert into
DEFINITION,"to change something from one use to another, or to be changed to a different use"
EXAMPLE,They're converting the old church into flats. 
HEADWORD,cook up
DEFINITION,"to invent a story, excuse, or plan"
EXAMPLE,Between them they cooked up some story to tell their parents. 
HEADWORD,cool down
DEFINITION,"to become cooler, or to make something cooler"
EXAMPLE,We had to wait until the engine had cooled down before restarting the car. 
HEADWORD,cool off
DEFINITION,to become cooler after being very hot
EXAMPLE,We went for a swim to cool off. 
HEADWORD,cop off with
DEFINITION,to meet someone and start a sexual relationship with them
EXAMPLE,"So, did you cop off with anyone?"
HEADWORD,cop out
DEFINITION,to avoid doing something that you should do because it is difficult
EXAMPLE,They accused him of trying to cop out. 
HEADWORD,cop to
DEFINITION,to admit to something embarrassing or something you have done wrong
EXAMPLE,We didn't expect him to cop to it straightaway.
HEADWORD,copy down
DEFINITION,to write exactly what someone has written or said
EXAMPLE,We carefully copied down the chemical formula. 
HEADWORD,copy in
DEFINITION,to send someone a copy of an email or letter that you are sending to another person
EXAMPLE,"I'll email her about it, and copy you in."
HEADWORD,copy out
DEFINITION,to write something again exactly as it has been written
EXAMPLE,We had to copy out sentences from a book. 
HEADWORD,copy to
DEFINITION,to send a copy of an email or letter to someone
EXAMPLE,I accidentally copied the email to everyone in the company. 
HEADWORD,cork up
DEFINITION,"to close something, especially a bottle, with a cork"
EXAMPLE,Make sure the bottles are properly corked up.
HEADWORD,correspond to
DEFINITION,"to be the same as something else, or very much like it"
EXAMPLE,"In 60% of the patients, all symptoms corresponded to what we expected. "
HEADWORD,cost out
DEFINITION,to calculate exactly how much something will cost
EXAMPLE,Have you costed out the job? 
HEADWORD,cosy up
DEFINITION,to move close to someone for warmth or love
EXAMPLE,"It was a cold night outside, so we cosied up under the blankets. "
HEADWORD,cosy up to
DEFINITION,to try to become friendly with someone in order to get some benefit for yourself
EXAMPLE,He has been accused of cosying up to the new US president.
HEADWORD,cotton on
DEFINITION,to begin to realize or understand something
EXAMPLE,Suddenly I cottoned on - she'd been lying from the start. 
HEADWORD,cotton to
DEFINITION,to begin to like someone or something
EXAMPLE,I didn't cotton to him at first.
HEADWORD,couch in
DEFINITION,to express something in a particular way
EXAMPLE,"Couched in generalities, the report named no one responsible for the incident. "
HEADWORD,cough up
DEFINITION,to force something such as blood out of your lungs by coughing
EXAMPLE,You might cough up a little blood. 
HEADWORD,count against
DEFINITION,to be a disadvantage in a particular situation
EXAMPLE,I'm worried that my age might count against me.
HEADWORD,count among
DEFINITION,to think of someone or something as belonging to a group of people or things that you have a particular opinion about
EXAMPLE,He counts John Lennon among his musical influences. 
HEADWORD,count as
DEFINITION,"to think of someone or something as a particular type of person or thing, or to be thought of as a particular type of person or thing"
EXAMPLE,Is geography counted as a science subject? 
HEADWORD,count down
DEFINITION,"to say numbers one after the other from a bigger number to a smaller number, especially zero"
EXAMPLE,Try counting down from a hundred. 
HEADWORD,count for
DEFINITION,to not be any advantage to you in a particular situation
EXAMPLE,Expertise and experience count for nothing if a fighter isn't mentally prepared when he enters the ring. 
HEADWORD,count in
DEFINITION,to include someone in your plans
EXAMPLE,'There's a party on Saturday.' - 'Count me in!' 
HEADWORD,count off
DEFINITION,to count things as you deal with them or as they pass
EXAMPLE,"'There's lots we could do,' she said, counting off the points on her fingers. "
HEADWORD,count on
DEFINITION,to depend on someone to do what you want or expect them to do for you
EXAMPLE,"The whole team was counting on me, and I let them down. "
HEADWORD,count out
DEFINITION,to count things one by one
EXAMPLE,She counted out £100 in £5 notes. 
HEADWORD,count towards
DEFINITION,to be included in a calculation
EXAMPLE,Marks for project work count towards your final grade.
HEADWORD,count up
DEFINITION,to count all the things or people in a group
EXAMPLE,Have you counted up how many times the team has lost? 
HEADWORD,cover for
DEFINITION,to do someone's work while they are away or ill
EXAMPLE,"I'm just covering for Mrs Tyler, so please bear with me. "
HEADWORD,cover over
DEFINITION,"to cover something, especially in order to protect it or hide it"
EXAMPLE,She put a cloth on the table to cover over the marks. 
HEADWORD,cover up
DEFINITION,to put one thing over another thing in order to protect or hide it
EXAMPLE,Use dust sheets to cover the furniture up if you are away for long periods. 
HEADWORD,crack down
DEFINITION,to start dealing with someone or something much more strictly
EXAMPLE,Crime is rising. Isn't it time the government cracked down hard? 
HEADWORD,crack on
DEFINITION,to continue doing something as quickly as possible
EXAMPLE,There's only two hours left. We'd better crack on. 
HEADWORD,crack up
DEFINITION,to become mentally ill
EXAMPLE,He just cracked up from the stress. 
HEADWORD,cram in
DEFINITION,to put people or things into a space that is too small
EXAMPLE,"The case was full, but she tried cramming in another few files. "
HEADWORD,crank out
DEFINITION,"to produce things in large numbers, often without caring much about their quality"
EXAMPLE,He cranked out hit song after hit song. 
HEADWORD,crank up
DEFINITION,to increase the level or degree of something
EXAMPLE,We are determined to crank up the pressure on the government. 
HEADWORD,crap on
DEFINITION,to talk continuously in an annoying or boring way
EXAMPLE,They just crap on for hours. 
HEADWORD,crash around
DEFINITION,to make a lot of noise as you move around in a place
EXAMPLE,I hear him crashing about in the bathroom.
HEADWORD,crash down
DEFINITION,"to stop existing or stop being successful, or to make someone or something stop existing or stop being successful"
EXAMPLE,Their rivals hoped and expected them to come crashing down. 
HEADWORD,crash out
DEFINITION,"to suddenly start sleeping, usually when you are very tired"
EXAMPLE,I crashed out around ten in front of the TV. 
HEADWORD,crate up
DEFINITION,to put something into a large wooden box in order to move or store it
EXAMPLE,"He paid 65 labourers for nine months to dismantle the monastery, crate it up, and move it. "
HEADWORD,crawl with
DEFINITION,to be full of people in a way that is unpleasant
EXAMPLE,The town was crawling with police. 
HEADWORD,cream off
DEFINITION,to take the best people or things from a larger group in order to form a smaller special group
EXAMPLE,They always cream off all the best students. 
HEADWORD,crease up
DEFINITION,to laugh a lot
EXAMPLE,"It's an old joke, but I crease up every time I hear it. "
HEADWORD,credit to
DEFINITION,to add an amount of money to a bank account
EXAMPLE,The money will be credited to your account in about three days. 
HEADWORD,credit with
DEFINITION,"to say or believe that someone is responsible for something that has happened, especially something important or successful"
EXAMPLE,She's rarely credited with the enormous amount she actually achieved. 
HEADWORD,creep in
DEFINITION,"to appear gradually and begin to affect something or someone, especially in a negative way"
EXAMPLE,Politicians have warned of voter cynicism creeping in unless there's an immediate inquiry. 
HEADWORD,creep over
DEFINITION,to gradually affect someone or something
EXAMPLE,"Tiredness crept over her, making her eyelids droop. "
HEADWORD,creep up
DEFINITION,to gradually become larger in number or amount
EXAMPLE,The sales figures keep creeping up. 
HEADWORD,creep up on
DEFINITION,"to move towards someone quietly and slowly, especially because you want to surprise them"
EXAMPLE,I didn't notice him creeping up on me. 
HEADWORD,cross off
DEFINITION,to draw a line through something on a list to show that you have dealt with it
EXAMPLE,"The children tell their names to the teacher, who crosses each one off. "
HEADWORD,cross out
DEFINITION,to draw an X or a line through writing because it is wrong or because you have decided to write something else
EXAMPLE,Just cross out the old address. 
HEADWORD,cross over
DEFINITION,"to walk from one side of a room, road etc to the other"
EXAMPLE,"Coming to the bridge, we crossed over and followed the path along the river. "
HEADWORD,crowd in
DEFINITION,to move into a particular place at the same time as a lot of other people
EXAMPLE,They opened the doors and we all crowded in. 
HEADWORD,crowd out
DEFINITION,"to become bigger, stronger, or more successful than another group so that they can no longer successfully compete with you"
EXAMPLE,The old inhabitants are being crowded out by rich young professionals. 
HEADWORD,cruise through
DEFINITION,"to succeed easily in a competition, test, game etc"
EXAMPLE,She cruised through her midterm exams.
HEADWORD,cruise to
DEFINITION,"to achieve success easily in a game, race, or competition"
EXAMPLE,They cruised to an effortless 5-0 win over AC Milan.
HEADWORD,crumble away
DEFINITION,to break into very small pieces
EXAMPLE,The bricks were soft and crumbled away when he lifted them.
HEADWORD,crumple up
DEFINITION,"to crush something such as paper or cloth so that it forms untidy folds, or to be crushed in this way"
EXAMPLE,I quickly crumpled up the letter and shoved it in my pocket. 
HEADWORD,cry for
DEFINITION,to cry because you want someone or miss them
EXAMPLE,Children often cry for their mothers on their first day of school. 
HEADWORD,cry off
DEFINITION,to decide not to do something that you had promised or agreed to do
EXAMPLE,Their guest speaker cried off at the last minute. 
HEADWORD,cry out
DEFINITION,"to make a loud noise because you are in pain, frightened, or shocked"
EXAMPLE,I tried not to cry out when a guard suddenly appeared in the doorway. 
HEADWORD,cry out against
DEFINITION,to feel or show very strongly that you do not want to do something or that you think something is wrong
EXAMPLE,My instincts cried out against leaving him there all alone. 
HEADWORD,cry out for
DEFINITION,to clearly need something a lot
EXAMPLE,This room is crying out for some new furniture. 
HEADWORD,cuddle up
DEFINITION,"to sit or lie with your body resting against someone else's and with your arms around them because you want to feel warm, protected, or loved"
EXAMPLE,The two children were cuddled up on the sofa. 
HEADWORD,cue in
DEFINITION,to give news or information to someone
EXAMPLE,What's going on? Can someone cue me in? 
HEADWORD,cull from
DEFINITION,to collect something such as information from different places
EXAMPLE,We used recipes culled from magazines.
HEADWORD,culminate in
DEFINITION,to happen or exist as the final result of a process or series of actions
EXAMPLE,The scandal eventually culminated in the collapse of the government. 
HEADWORD,curl up
DEFINITION,"to sit in a comfortable position, with your legs bent and your feet up off the floor"
EXAMPLE,"We sat curled up on the sofa, watching the late film. "
HEADWORD,curse out
DEFINITION,"to use impolite or offensive language to someone, especially because they have made you angry"
EXAMPLE,Neighbours had heard him cursing her out before she was found dead.
HEADWORD,be cursed with
DEFINITION,"to have a serious problem, disadvantage, or condition that is often permanent"
EXAMPLE,The area is cursed with the lowest wages in the whole country. 
HEADWORD,curtain off
DEFINITION,to separate an area from the rest of a room or area by a curtain
EXAMPLE,The clean area is curtained off from the rest.
HEADWORD,cushion against
DEFINITION,to protect a person or thing from the harmful effects of something
EXAMPLE,Their savings partly cushioned them against the worst effects of the legal costs. 
HEADWORD,cuss out
DEFINITION,"to use impolite or offensive language to someone, especially because they have made you angry"
EXAMPLE,Dad cussed me out good for taking the car without asking.
HEADWORD,cut across
DEFINITION,"to go across an area of land, instead of going around the edge of it, in order to save time"
EXAMPLE,We cut across the field because we were late. 
HEADWORD,cut away
DEFINITION,to remove the parts of something that you do not want by cutting them
EXAMPLE,Cut away any dead growth on your roses. 
HEADWORD,cut back
DEFINITION,to reduce the amount of money that you spend or the amount of something that you use
EXAMPLE,We'll have to cut back a little. 
HEADWORD,cut down
DEFINITION,"to reduce an amount of something, or the number or size of something"
EXAMPLE,How can you cut down the risk of cancer? 
HEADWORD,cut in
DEFINITION,to interrupt someone who is speaking by saying something
EXAMPLE,"'That's rubbish,' Sue cut in. "
HEADWORD,cut into
DEFINITION,"to reduce an amount of something that is available, especially time or money"
EXAMPLE,The teaching days I do really cut into my time at home. 
HEADWORD,cut off
DEFINITION,to remove something by cutting it
EXAMPLE,The kidnappers cut his ear off and sent it to his family with a ransom note. 
HEADWORD,cut out
DEFINITION,to remove something from a larger piece by cutting
EXAMPLE,I cut this article out of a magazine for you. 
HEADWORD,cut through
DEFINITION,to go through an area instead of going around the edge of it
EXAMPLE,He decided to cut through the forest. 
HEADWORD,cut up
DEFINITION,to cut something into several pieces
EXAMPLE,"At this stage, your child will need someone to cut up her food for her. "
HEADWORD,dab at
DEFINITION,"to touch a surface gently several times with something such as a piece of cloth, in order to make it clean or dry"
EXAMPLE,Marge dabbed at her eyes with a handkerchief.
HEADWORD,dab off
DEFINITION,to remove something from a surface by gently touching it several times with something such as a piece of cloth
EXAMPLE,He put his hand to his face and dabbed off a tear. 
HEADWORD,dab on
DEFINITION,to quickly put small amounts of a substance on a surface
EXAMPLE,She dabbed some cream on gently. 
HEADWORD,dabble in
DEFINITION,to be involved in an activity for a short time in a way that is not very serious
EXAMPLE,When he was younger he dabbled in astrology. 
HEADWORD,dally with
DEFINITION,to consider an idea or course of action but not in a serious way
EXAMPLE,She had often dallied with the thought of leaving him. 
HEADWORD,dam up
DEFINITION,to control your feelings so that you do not show them
EXAMPLE,I tried to dam up my tears.
HEADWORD,damp down
DEFINITION,to use water to put out a fire or to stop it spreading
EXAMPLE,The firemen had planned to use water from beneath the bridge to damp down a blaze in the copse.
HEADWORD,dampen down
DEFINITION,to make something such as a feeling or hope less strong
EXAMPLE,They tried to dampen down our enthusiasm. 
HEADWORD,dangle before
DEFINITION,to offer someone something attractive as a way of persuading them to do something
EXAMPLE,Other teams were dangling huge pay offers before him. 
HEADWORD,dash around
DEFINITION,to go from place to place very quickly because you are in a hurry
EXAMPLE,"She was dashing around, trying to get things ready for the party."
HEADWORD,dash off
DEFINITION,to leave quickly or suddenly because you are in a hurry
EXAMPLE,I've got to dash off after lunch to meet a client. 
HEADWORD,date back
DEFINITION,to be made or begun at a particular time in the past
EXAMPLE,a tradition dating back five centuries 
HEADWORD,date from
DEFINITION,to be made at a particular time in the past
EXAMPLE,These sculptures must date from the middle of the 7th century.
HEADWORD,daub on
DEFINITION,to spread a wet substance such as paint on a surface in a careless way
EXAMPLE,The words were daubed on every wall. 
HEADWORD,deal in
DEFINITION,to buy and sell something
EXAMPLE,a small company that deals in rare books 
HEADWORD,deal in
DEFINITION,to allow someone to take part in something with you
EXAMPLE,"If you're going hiking this weekend, deal me in."
HEADWORD,deal out
DEFINITION,to give a punishment or bad treatment to someone
EXAMPLE,It is up to the courts to deal out the right punishments. 
HEADWORD,deal with
DEFINITION,"to take action to do something, for example to solve a problem"
EXAMPLE,This is a matter that should be dealt with by the police. 
HEADWORD,debar from
DEFINITION,to officially prevent someone from doing something or having something
EXAMPLE,Some students have been debarred from taking the examination. 
HEADWORD,decide against
DEFINITION,to decide not to do something or not to choose someone or something
EXAMPLE,In the end we decided against the house because it was too small. 
HEADWORD,decide on
DEFINITION,to choose someone or something from a number of possible choices
EXAMPLE,We decided on Spain for our holiday this year. 
HEADWORD,deck out
DEFINITION,"to decorate something, usually a room or building, for a special occasion"
EXAMPLE,The office was already decked out for Christmas. 
HEADWORD,declare against
DEFINITION,to say publicly that you oppose someone or something
EXAMPLE,Others followed him and declared against the monarchy.
HEADWORD,declare for
DEFINITION,to say publicly that you support someone or something
EXAMPLE,Senator Hopkins has now declared for the tax cuts.
HEADWORD,dedicate to
DEFINITION,to spend your time and effort doing something
EXAMPLE,This woman has dedicated her whole life to helping others. 
HEADWORD,defer to
DEFINITION,"to accept someone's opinion or decision, especially because you respect them"
EXAMPLE,I will defer to Mr Walters on this point.
HEADWORD,delight in
DEFINITION,to get a lot of pleasure or enjoyment from something
EXAMPLE,He delights in corresponding with his old students. 
HEADWORD,deliver up
DEFINITION,to give something to someone officially and formally
EXAMPLE,All the firm's accounting records have now been delivered up to the court.
HEADWORD,deluge with
DEFINITION,to give someone a lot of things to deal with
EXAMPLE,The Commission has been deluged with complaints.
HEADWORD,delve into
DEFINITION,to look for information by searching through something thoroughly
EXAMPLE,This biography delves deep into the artist's private life. 
HEADWORD,depart from
DEFINITION,to not use the usual way of doing something or thinking about something
EXAMPLE,He did not depart from his usual morning routine. 
HEADWORD,derive from
DEFINITION,to obtain something from something else
EXAMPLE,"A number of products also contained ingredients that were derived from animals, for example gelatine. "
HEADWORD,descend from
DEFINITION,to be related to a person or animal that lived long ago
EXAMPLE,She claims to be descended from royalty. 
HEADWORD,describe as
DEFINITION,to say that someone or something is a particular type of person or thing
EXAMPLE,Would you describe him as a reasonable man? 
HEADWORD,despair of
DEFINITION,"to feel that a bad situation will never change or get better, or that something you want badly will ever happen"
EXAMPLE,I despair of the state of the health service in this country! 
HEADWORD,deter from
DEFINITION,"to make someone decide not to do something by showing them that it would be difficult, dangerous, or unpleasant"
EXAMPLE,The rain didn't deter people from coming to the game. 
HEADWORD,detract from
DEFINITION,"to make something seem less good, attractive, or important"
EXAMPLE,We should not allow her personal difficulties to detract from her public achievements.
HEADWORD,deviate from
DEFINITION,to start doing something different from what is expected or has been agreed
EXAMPLE,Try not to deviate too much from the script.
HEADWORD,devolve to
DEFINITION,"to give power or responsibility to someone else, especially a smaller organization or one that is at a lower level"
EXAMPLE,Responsibility for minor cases was devolved to the local courts. 
HEADWORD,devote to
DEFINITION,to spend a lot of your time or effort doing something
EXAMPLE,He's devoted most of his time to his painting. 
HEADWORD,dial up
DEFINITION,to get connected to the Internet on your computer by using a modem and telephone line
EXAMPLE,The service allows customers of the bank to dial up from their home computer. 
HEADWORD,dictate to
DEFINITION,to tell someone exactly what to do and how to behave
EXAMPLE,Washington is in no position to dictate terms to Moscow. 
HEADWORD,be dying for
DEFINITION,to want to have something or to do something very much
EXAMPLE,I'm dying for a drink. 
HEADWORD,die out
DEFINITION,to become weaker or less common and then disappear completely
EXAMPLE,The tribe's traditional way of life is dying out. 
HEADWORD,differ from
DEFINITION,to be different from someone or something else
EXAMPLE,English differs from Spanish in that it is not pronounced as it is written. 
HEADWORD,differentiate from
DEFINITION,to be the quality or fact that makes one person or thing different from another
EXAMPLE,The ability to use speech differentiates humans from other animals.
HEADWORD,dig around
DEFINITION,to try to find something inside a place or container by searching in every part of it
EXAMPLE,She dug around in her handbag for a pen. 
HEADWORD,dig into
DEFINITION,to put your hand in your pocket or bag in order to find something
EXAMPLE,She dug into her bag and took out a pen. 
HEADWORD,dig out
DEFINITION,to get someone or something out of a place or out of the ground by digging
EXAMPLE,Firefighters dug out a terrier which got stuck underground. 
HEADWORD,dig over
DEFINITION,to dig ground in order to prepare it for new plants
EXAMPLE,The first job was to dig over the flowerbeds. 
HEADWORD,dig up
DEFINITION,to remove something from under the ground by digging
EXAMPLE,We will have to dig that tree up. 
HEADWORD,dignify with
DEFINITION,"to make someone or something seem better or more important than they really are, especially by describing them or reacting to them in a particular way"
EXAMPLE,I then embarked on my acting career - if I could dignify it with such a name.
HEADWORD,din into
DEFINITION,to teach something to someone by repeating it a lot of times in a very determined way
EXAMPLE,She was tired of trying to din Physics into the heads of bored teenagers.
HEADWORD,dine in
DEFINITION,"to eat your evening meal at home, or at a hotel when you are staying there, instead of at a restaurant"
EXAMPLE,"Will you be dining in tonight, sir?"
HEADWORD,dine on
DEFINITION,"to eat a particular type of food, especially an expensive one"
EXAMPLE,They dined on caviar and strawberries.
HEADWORD,dine out
DEFINITION,to eat your evening meal in a restaurant instead of at home
EXAMPLE,We can't dine out every night.
HEADWORD,dip into
DEFINITION,"to read parts of something such as a book or magazine, without reading the whole thing from start to finish"
EXAMPLE,"I haven't read the book all the way through, but I dipped into it occasionally. "
HEADWORD,disabuse of
DEFINITION,to make someone realize that they were wrong to believe something
EXAMPLE,He seeks to disabuse people of the notion that they live in a real democracy.
HEADWORD,disagree with
DEFINITION,to not approve of something because you think that it is dishonest or immoral
EXAMPLE,Most people strongly disagree with any cruelty to animals. 
HEADWORD,disapprove of
DEFINITION,to not approve of someone or something
EXAMPLE,Why do you always have to disapprove of everything I do? 
HEADWORD,discourage from
DEFINITION,"to try to prevent someone from doing something, or to make it less likely that they will want to do it"
EXAMPLE,How can we discourage people from using their cars? 
HEADWORD,discourse on
DEFINITION,to talk for a long time about a particular subject that you know a lot about
EXAMPLE,She spent over an hour discoursing on the merits of the new technology.
HEADWORD,disguise as
DEFINITION,to change your appearance in order to look like someone or something else
EXAMPLE,She would arrive at his home disguised as a man. 
HEADWORD,dish out
DEFINITION,to give things to a number of people
EXAMPLE,Some doctors are dishing out drugs their patients do not need. 
HEADWORD,dish up
DEFINITION,to put food into dishes or onto plates so that it is ready to be eaten
EXAMPLE,She dished up the meal and they ate in silence. 
HEADWORD,dispense with
DEFINITION,to not use or do something because it is not necessary or is no longer useful
EXAMPLE,I think we can dispense with the introduction and get straight to the main points. 
HEADWORD,dispose of
DEFINITION,to get rid of something that you no longer need or want
EXAMPLE,Please dispose of all litter in the containers provided. 
HEADWORD,dissociate from
DEFINITION,to say that someone is not connected with or not responsible for something and so is not to blame for it
EXAMPLE,The royal spokesperson was anxious to dissociate the monarchy from any involvement in the incident. 
HEADWORD,dissolve in
DEFINITION,to mix a solid substance with a liquid so that it becomes mixed with the liquid and it seems to disappear into it
EXAMPLE,Dissolve the sugar in one tablespoon of water.
HEADWORD,distance from
DEFINITION,"to act in a way that shows you are not connected with someone or something, usually because you do not approve of them"
EXAMPLE,The company is trying to distance itself from remarks made by its former director.
HEADWORD,distinguish from
DEFINITION,to recognize the difference between two or more similar things
EXAMPLE,It's quite difficult to distinguish her voice from her sister's. 
HEADWORD,dive in
DEFINITION,"to start doing something in a very enthusiastic way, especially without thinking much about it first"
EXAMPLE,Sometimes you've just got to take a chance and dive in. 
HEADWORD,divert from
DEFINITION,to do something to take people's attention away from something that you do not want them to concentrate on or notice
EXAMPLE,The government is using the war to divert attention from their appalling economic performance.
HEADWORD,divest of
DEFINITION,"to officially take away someone's power, position, or authority"
EXAMPLE,He had been divested of all his previous power. 
HEADWORD,divide off
DEFINITION,to keep one area separate from another
EXAMPLE,A fence divided off the women's section.
HEADWORD,divide up
DEFINITION,to separate people or things into smaller parts or groups
EXAMPLE,Even in quite small gardens you can divide the available space up with walls and hedges. 
HEADWORD,be divorced from
DEFINITION,to be completely separated from something else and have no connection with it at all
EXAMPLE,Politics should not be divorced from ordinary people's lives. 
HEADWORD,divvy up
DEFINITION,to divide or share something such as money or profits between people
EXAMPLE,He says he'll divvy up the winnings. 
HEADWORD,do about
DEFINITION,to do something to help deal with a situation or solve a problem
EXAMPLE,My son started taking drugs and I couldn't do anything about it. 
HEADWORD,do as
DEFINITION,to do what someone asks you to do or what they say or suggest you should do
EXAMPLE,Do as I say or there'll be trouble. 
HEADWORD,do away with
DEFINITION,to get rid of something
EXAMPLE,"If we do away with the monarchy, what will we have in its place? "
HEADWORD,do down
DEFINITION,to criticize someone in a way that makes them seem stupid or unsuccessful
EXAMPLE,Why are you always doing your kids down? 
HEADWORD,do for
DEFINITION,to make someone feel interested or excited
EXAMPLE,"Ken wants to buy a new Porsche, but sports cars don't do anything for me. "
HEADWORD,be done for
DEFINITION,"to be likely to be punished, hurt, or killed"
EXAMPLE,"If the guards see us, we're done for. "
HEADWORD,do in
DEFINITION,to feel very tired
EXAMPLE,I'm completely done in after all that running around. 
HEADWORD,do out
DEFINITION,"to make a room, cupboard, or drawer thoroughly tidy and clean"
EXAMPLE,"While I'm down here, I'll do out these cupboards. "
HEADWORD,do out of
DEFINITION,"to stop someone from getting or having something that they should have, especially in a way that is unfair or dishonest"
EXAMPLE,That guy at the garage did me out of £50 last night. 
HEADWORD,do over
DEFINITION,"to illegally enter someone's house, steal things from it, and cause a lot of damage"
EXAMPLE,"As soon as I opened the door, I could see the place had been done over. "
HEADWORD,do to
DEFINITION,"to affect someone in a way that makes them happy, sad, or excited"
EXAMPLE,"When I hear that song, it always does something to me."
HEADWORD,do up
DEFINITION,"to repair, paint, and improve an old building, car, boat etc"
EXAMPLE,"It's a lovely cottage, but we need to do it up a bit. "
HEADWORD,do with
DEFINITION,used for asking what arrangements someone makes for something
EXAMPLE,What do you usually do with the cat when you're away? 
HEADWORD,do without
DEFINITION,to succeed in living or working without someone or something
EXAMPLE,"There's no more milk, so I guess we'll just have to do without. "
HEADWORD,dob in
DEFINITION,to tell someone such as a parent or teacher about something bad that someone else has done
EXAMPLE,We knew the others would dob us in.
HEADWORD,dole out
DEFINITION,to give something such as food or money to a particular group of people or to every person in a group
EXAMPLE,The government has agreed to dole out an additional £5 million to schools.
HEADWORD,doll up
DEFINITION,to make yourself look attractive for a special occasion
EXAMPLE,We used to doll ourselves up and go into town. 
HEADWORD,be doomed to
DEFINITION,to be certain to experience something such as failure or unhappiness
EXAMPLE,The project was doomed to failure from the start. 
HEADWORD,dope up
DEFINITION,to give someone a drug in order to take away their pain or make them sleep
EXAMPLE,They've doped her up quite heavily because she was in such pain.
HEADWORD,dose up with
DEFINITION,to give an amount of a legal drug to someone in order to make them sleep or feel better
EXAMPLE,Most of the patients here are dosed up with sedatives. 
HEADWORD,doss around
DEFINITION,"to spend time in a place in a lazy way, doing very little"
EXAMPLE,We spent the weekend dossing around the house. 
HEADWORD,doss down
DEFINITION,to sleep somewhere
EXAMPLE,Is it ok if I doss down here tonight?
HEADWORD,be dotted around
DEFINITION,"to exist or be present in several places around an area, especially with a fairly large amount of space in between"
EXAMPLE,The company has more than thirty branches dotted around Spain. 
HEADWORD,dot with
DEFINITION,to cover a surface with small amounts of something in different places
EXAMPLE,Dot the top of the pie with butter then put it in the oven.
HEADWORD,dote on
DEFINITION,"to love someone very much, often so much that you do not notice their faults"
EXAMPLE,She absolutely dotes on the grandchildren.
HEADWORD,double as
DEFINITION,to have a second use or purpose
EXAMPLE,In the corner was an old sofa that doubled as Simon's bed.
HEADWORD,double back
DEFINITION,to turn and go back in the direction that you have just come from
EXAMPLE,We doubled back through the fields to the village. 
HEADWORD,double for
DEFINITION,to take the place of an actor by pretending to be them in difficult or dangerous parts of a film
EXAMPLE,He doubled for Roger Moore in the film Octopussy.
HEADWORD,double over
DEFINITION,to fold something so that one surface lies flat against the other
EXAMPLE,The map on his desk was doubled over so I couldn't see it. 
HEADWORD,doze off
